agent,K,accuracy,stderr,n_seeds
A,4,0.08179687499999999,0.0007424987599196001,8
B,4,0.239453125,0.001584829288209886,8
C,4,0.7841093749999999,0.001607987439288855,8
D,4,0.27573437500000003,0.0014150887899641283,8
oracle,4,1.0,0.0,8
A,6,0.12256249999999999,0.0004744854146653595,8
B,6,0.3182708333333334,0.0015964952624470485,8
C,6,0.8358958333333333,0.0006630762692849793,8
D,6,0.369625,0.0014266107576940018,8
oracle,6,1.0,0.0,8
A,8,0.1617265625,0.0008518900909862352,8
B,8,0.38952343749999996,0.0011872025884612535,8
C,8,0.8718671875,0.00059050304627178,8
D,8,0.44453906249999997,0.0011477084055906337,8
oracle,8,1.0,0.0,8
A,10,0.2046125,0.0010885668002338805,8
B,10,0.44851874999999997,0.0011594309526351979,8
C,10,0.8973500000000001,0.0004086126352846808,8
D,10,0.5111,0.0006937218462755762,8
oracle,10,1.0,0.0,8
A,12,0.24610416666666665,0.001190732859235648,8
B,12,0.5003489583333334,0.0007693412803849582,8
C,12,0.9193385416666666,0.00038216027001009917,8
D,12,0.5670052083333333,0.0005773200638304412,8
oracle,12,1.0,0.0,8
A,16,0.3278359375,0.0006480339751310153,8
B,16,0.5869609375,0.000505782342969602,8
C,16,0.93430859375,0.0002995903487975468,8
D,16,0.65359375,0.0005757673935869077,8
oracle,16,1.0,0.0,8
