agent,K,noise_scale,accuracy,stderr,n_seeds
A,4,0.5,0.0831875,0.0032167773081144433,8
B,4,0.5,0.35143749999999996,0.0021473353504152222,8
C,4,0.5,0.8551249999999999,0.002207434677888079,8
D,4,0.5,0.44325000000000003,0.0031833831958199108,8
A,4,1.0,0.081875,0.00272185270410747,8
B,4,1.0,0.2335625,0.0025815926355089946,8
C,4,1.0,0.75225,0.0024784787961281986,8
D,4,1.0,0.279625,0.0019197051484909937,8
A,4,2.0,0.081875,0.002655435799584371,8
B,4,2.0,0.1544375,0.0018813879280239606,8
C,4,2.0,0.6054375000000001,0.002758812988794791,8
D,4,2.0,0.17625000000000002,0.0032895939827626997,8
A,4,4.0,0.08399999999999999,0.001901597073139162,8
B,4,4.0,0.1144375,0.002326933719665063,8
C,4,4.0,0.433375,0.0032151288576709623,8
D,4,4.0,0.1230625,0.0028479903628950112,8
A,4,8.0,0.079,0.0017086962448436683,8
B,4,8.0,0.09993750000000001,0.0017964188085505797,8
C,4,8.0,0.27349999999999997,0.0032936627462012962,8
D,4,8.0,0.10475,0.0035531676008879742,8
A,8,0.5,0.16496875,0.00193674380404327,8
B,8,0.5,0.5061249999999999,0.001805868410013783,8
C,8,0.5,0.91615625,0.0008850664573514073,8
D,8,0.5,0.6216875000000001,0.0021813689590975366,8
A,8,1.0,0.16296875,0.0023368350371969836,8
B,8,1.0,0.3881875,0.0025529001365393964,8
C,8,1.0,0.85259375,0.00147064846909207,8
D,8,1.0,0.447,0.0012437342963832728,8
A,8,2.0,0.16218749999999998,0.0012254281321819162,8
B,8,2.0,0.2856875,0.001992032119290677,8
C,8,2.0,0.7566875,0.002792588245184538,8
D,8,2.0,0.31237499999999996,0.002305854350498807,8
A,8,4.0,0.165625,0.001753185875566453,8
B,8,4.0,0.22459374999999998,0.0015184413266570438,8
C,8,4.0,0.6113124999999999,0.001971759321374847,8
D,8,4.0,0.23528125,0.0024664885664065573,8
A,8,8.0,0.16412500000000002,0.0018474161492667087,8
B,8,8.0,0.1958125,0.001964387172704432,8
C,8,8.0,0.44603125,0.002167349795009695,8
D,8,8.0,0.1965,0.0018456028825291747,8
A,16,0.5,0.325671875,0.000992139165020643,8
B,16,0.5,0.673796875,0.0016909583444803884,8
C,16,0.5,0.956453125,0.0004747752640347771,8
D,16,0.5,0.798921875,0.0007901943349920758,8
A,16,1.0,0.327703125,0.0010269628146957644,8
B,16,1.0,0.58621875,0.001352442813023903,8
C,16,1.0,0.9235625,0.0008892337190766321,8
D,16,1.0,0.654765625,0.0007449373400662547,8
A,16,2.0,0.32599999999999996,0.0012642050014591336,8
B,16,2.0,0.48164062500000004,0.0021048728408954486,8
C,16,2.0,0.872875,0.0007551903733496589,8
D,16,2.0,0.51446875,0.0006865862434121824,8
A,16,4.0,0.328984375,0.001702223713028466,8
B,16,4.0,0.40654687500000003,0.001614826930548594,8
C,16,4.0,0.7838125,0.0017638166308159245,8
D,16,4.0,0.424828125,0.0016798665809851423,8
A,16,8.0,0.32525000000000004,0.001334216597322723,8
B,16,8.0,0.364953125,0.001781749225154673,8
C,16,8.0,0.6466093749999999,0.0010156250000000055,8
D,16,8.0,0.37103125000000003,0.0016930711607481667,8
