agent,episode,accuracy,stderr,n_seeds
A,0,0.17447916666666666,0.0188561397283842,8
A,1,0.16666666666666666,0.022271770159368695,8
A,2,0.1953125,0.013603054537784386,8
A,3,0.19010416666666666,0.016440758775285974,8
A,4,0.15364583333333334,0.014698471923466079,8
A,5,0.16927083333333331,0.013315126613224164,8
A,6,0.11458333333333333,0.01181138978153835,8
A,7,0.16145833333333331,0.017048272674686903,8
A,8,0.15625,0.019287918745261486,8
A,9,0.16666666666666669,0.015248438639820828,8
A,10,0.14583333333333331,0.0157485197087178,8
A,11,0.18489583333333331,0.01690560679687762,8
A,12,0.17447916666666669,0.01416135886210884,8
A,13,0.16927083333333331,0.016440758775285974,8
A,14,0.140625,0.02218460047005294,8
A,15,0.16666666666666666,0.012450298013899935,8
A,16,0.171875,0.011646187382811403,8
A,17,0.16666666666666669,0.01113588507968435,8
A,18,0.18489583333333334,0.013315126613224164,8
A,19,0.16666666666666669,0.015248438639820831,8
A,20,0.15364583333333331,0.01302083333333333,8
A,21,0.18229166666666669,0.012908743729834426,8
A,22,0.19270833333333331,0.026041666666666664,8
A,23,0.16927083333333334,0.013315126613224168,8
A,24,0.1640625,0.01822916666666666,8
A,25,0.16145833333333334,0.01290874372983443,8
A,26,0.1796875,0.01667480270164804,8
A,27,0.171875,0.01997875235431183,8
A,28,0.17447916666666669,0.013020833333333332,8
A,29,0.16927083333333331,0.015962379429259627,8
A,30,0.15364583333333334,0.022936105121723734,8
A,31,0.15104166666666669,0.0207401188463785,8
A,32,0.1640625,0.016905606796877626,8
A,33,0.16927083333333334,0.023765887282268503,8
A,34,0.14583333333333334,0.01623320255154124,8
A,35,0.171875,0.01405836579441308,8
A,36,0.15625,0.021564548729448567,8
A,37,0.1484375,0.012719732884880028,8
A,38,0.15364583333333331,0.014698471923466077,8
A,39,0.140625,0.01658742322143449,8
A,40,0.16145833333333331,0.009440905908072558,8
A,41,0.15104166666666669,0.024822659698827788,8
A,42,0.13802083333333331,0.02043423533461229,8
A,43,0.19010416666666669,0.019462926130250493,8
A,44,0.1484375,0.006146842128667522,8
A,45,0.15364583333333331,0.01360305453778439,8
A,46,0.15104166666666669,0.01658742322143449,8
A,47,0.16145833333333331,0.015624999999999998,8
A,48,0.17708333333333331,0.01473139127471974,8
A,49,0.16145833333333334,0.019978752354311832,8
A,50,0.17447916666666666,0.023602264770181396,8
A,51,0.1875,0.009643959372630745,8
A,52,0.16666666666666666,0.019287918745261486,8
A,53,0.15885416666666669,0.024881134832151732,8
A,54,0.20572916666666669,0.014959798558692783,8
A,55,0.19010416666666669,0.02207515431420654,8
A,56,0.17708333333333334,0.01888181181614512,8
A,57,0.13802083333333331,0.017579847248081336,8
A,58,0.17447916666666666,0.011092300235026466,8
A,59,0.15885416666666666,0.006747900724411105,8
A,60,0.17447916666666669,0.02782230743792892,8
A,61,0.15885416666666669,0.017133301993555734,8
A,62,0.15104166666666669,0.00944090590807256,8
A,63,0.15625,0.017161551480164874,8
A,64,0.16145833333333334,0.01229368425733505,8
A,65,0.1796875,0.02189890275708547,8
A,66,0.1640625,0.010737254233379323,8
A,67,0.18489583333333334,0.017358010635845543,8
A,68,0.17447916666666666,0.00874849405975063,8
A,69,0.1640625,0.013315126613224168,8
A,70,0.15104166666666666,0.012908743729834428,8
A,71,0.13541666666666666,0.01670382761952652,8
A,72,0.1796875,0.012411329849413894,8
A,73,0.1640625,0.01690560679687762,8
A,74,0.1328125,0.01109230023502647,8
A,75,0.14322916666666666,0.017798919217121553,8
A,76,0.20572916666666666,0.013315126613224168,8
A,77,0.14583333333333331,0.015748519708717802,8
A,78,0.15364583333333334,0.019262787895832766,8
A,79,0.16927083333333334,0.014959798558692781,8
B,0,0.4140625,0.030860042124092987,8
B,1,0.3828125,0.02725947187756305,8
B,2,0.3854166666666667,0.018042195912175804,8
B,3,0.3984375,0.012719732884880026,8
B,4,0.375,0.014195523830609314,8
B,5,0.39583333333333337,0.019287918745261482,8
B,6,0.42447916666666663,0.019262787895832766,8
B,7,0.41145833333333337,0.01877891289304161,8
B,8,0.4244791666666667,0.0188561397283842,8
B,9,0.4244791666666667,0.0236022647701814,8
B,10,0.4322916666666667,0.028322717724217676,8
B,11,0.4088541666666667,0.011092300235026466,8
B,12,0.3828125,0.01302083333333333,8
B,13,0.40104166666666663,0.021474508466758645,8
B,14,0.38020833333333337,0.01958697407900027,8
B,15,0.4010416666666667,0.02218460047005294,8
B,16,0.38802083333333337,0.01801532740000484,8
B,17,0.4010416666666667,0.017048272674686907,8
B,18,0.4453125,0.018856139728384208,8
B,19,0.3723958333333333,0.017798919217121553,8
B,20,0.3854166666666667,0.027277236279499045,8
B,21,0.4140625,0.008293711610717245,8
B,22,0.38020833333333337,0.020740118846378497,8
B,23,0.40104166666666663,0.023867581744561668,8
B,24,0.4453125,0.018440526386002576,8
